geo,indicator,date,month,value,unit,sub_indicator_short
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2023,,672761.0,people,Net migration plus statistical adjustment
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2024,,451736.0,people,Net migration plus statistical adjustment
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2016,,-118761.0,people,Natural change of population
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2017,,-147371.0,people,Natural change of population
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2018,,-167351.0,people,Natural change of population
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2019,,-161430.0,people,Natural change of population
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2020,,-212428.0,people,Natural change of population
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2021,,-228195.0,people,Natural change of population
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2022,,-327522.0,people,Natural change of population
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2023,,-335217.0,people,Natural change of population
DE,population_change_demographic_balance_and_crude_rates_at_national_level,2024,,-330641.0,people,Natural change of population
ES,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2016,,58.3,PC,
ES,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2017,,59.1,PC,
ES,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2018,,60.1,PC,
ES,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2019,,61.3,PC,
ES,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2020,,62.9,PC,
ES,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2021,,63.4,PC,
ES,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2022,,63.7,PC,
ES,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2023,,64.2,PC,
ES,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2024,,64.9,PC,
FR,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2016,,78.1,PC,
FR,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2017,,78.4,PC,
FR,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2018,,79.4,PC,
FR,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2019,,80.5,PC,
FR,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2020,,81.5,PC,
FR,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2021,,82.2,PC,
FR,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2022,,83.3,PC,
FR,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2023,,83.7,PC,
FR,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2024,,83.9,PC,
DE,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2016,,86.5,PC,
DE,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2017,,86.5,PC,
